Error_scenario,Dataset_D47Error,Dataset_TError,Target_D47,Target_D47Error,NPU_Model,NPU_Precision,NPU_Accuracy,BP_Model,BP_Precision,Bp_Accuracy,Notes,PredictionType,ModelSelected,PrintStatment
Low,0.0025,0.25,0.6,0.001,LM,0.51012101,0.49596559,BLM,0.01586813,0.53601647,Best performance (both precision and accuracy),Bayesian predictions,BLMM,NA
Low,0.0025,0.25,0.6,0.005,LM,2.55197833,0.49596559,BLMM,0.09435529,0.49346069,Best performance (both precision and accuracy),Bayesian predictions,BLMM,NA
Low,0.0025,0.25,0.6,0.01,LM,5.11256383,0.49596559,BLMM,0.10428731,0.49324328,Best performance (both precision and accuracy),Bayesian predictions,BLM (W/ errors),NA
Low,0.0025,0.25,0.6,0.02,LM,10.2947236,0.49596559,BLM (W/ errors),0.16699564,0.49342131,Best performance (both precision and accuracy),Bayesian predictions,BLMM,NA
Low,0.0025,0.25,0.6,0.04,LM,21.1710482,0.49596559,BLMM,0.31197426,0.32726968,Best performance (both precision and accuracy),Bayesian predictions,BLM,NA
Low,0.0025,0.25,0.6,0.06,LM,33.3590542,0.49596559,BLM,0.40024008,-1.2725467,Best performance (both precision and accuracy),Bayesian predictions,BLM,NA
Low,0.0025,0.25,0.7,0.001,Deming,0.34766837,-0.05214689,BLM,0.00785574,-0.00321003,Best performance (both precision and accuracy),Bayesian predictions,BLM (W/ errors),NA
Low,0.0025,0.25,0.7,0.005,LM,1.71032453,-0.05438526,BLM (W/ errors),0.02558131,-0.00199373,Best performance (both precision and accuracy),Bayesian predictions,BLM,NA
Low,0.0025,0.25,0.7,0.01,LM,3.42402917,-0.05438526,BLM,0.04695988,0.00236415,Best performance (both precision and accuracy),Bayesian predictions,BLM,NA
Low,0.0025,0.25,0.7,0.02,LM,6.875,-0.05429861,BLM,0.103,-0.00429861,Best performance (both precision and accuracy),Bayesian predictions,BLM (W/ errors),NA
Low,0.0025,0.25,0.7,0.04,LM,13.9737925,-0.05438526,BLM (W/ errors),0.16645203,0.09183477,Best performance (both precision and accuracy),Bayesian predictions,BLM,NA
Low,0.0025,0.25,0.7,0.06,LM,21.5505611,-0.05438526,BLM,0.28507844,1.22857187,Best performance (both precision and accuracy),Bayesian predictions,BLMM,NA
Low,0.0025,0.25,0.8,0.001,BLM (W/ errors),0.25044781,-0.083487616,BLMM,0.03094201,-0.054038385,Best performance (both precision and accuracy),Bayesian predictions,BLMM,NA
Low,0.0025,0.25,0.8,0.005,BLM (W/ errors),1.25250031,-0.083487616,BLM,0.01363224,0.640997949,The point estimate is going to be almost at the true value,No uncertainty,BLM (W/ errors),The point estimate is going to be almost at the true value. The error is probably unncessary.
Low,0.0025,0.25,0.8,0.01,BLM (W/ errors),2.50663521,-0.083487616,BLM,0.02520386,1.482129884,The point estimate is going to be almost at the true value,No uncertainty,BLM (W/ errors),The point estimate is going to be almost at the true value. The error is probably unncessary.
