Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError
70CCalcite3-30-2011,Aragonite,Synthetic,4,0.507,0.012462622,8.39,0.05
25CCalcite1-12-2011,Calcite,Synthetic,4,0.599,0.013085765,11.1,0.08
5CAragonite,Aragonite,Synthetic,4,0.648,0.013900065,12.74,0.09
25CAragonite10-17-2013,Aragonite,Synthetic,4,0.598,0.009406207,11.1,0.08
70CCalcite10-10-2013,Calcite,Synthetic,4,0.513,0.005757869,8.39,0.05
5CCalcite1-12-2012,Calcite,Synthetic,4,0.645,0.002970373,12.74,0.09
50CAragonite3-14-2014,Aragonite,Synthetic,5,0.533,0.006460741,9.46,0.06
50CCalcite3-24-2014,Calcite,Synthetic,4,0.519,0.007991087,9.46,0.06
AC30dolo,Dolomite,Natural,4,0.599,0.019419493,10.95,0.38
250-I-7-d-1,Dolomite,Synthetic,4,0.338,0.004123281,3.63,0.03
O-T-5-d-1,Dolomite,Synthetic,6,0.331,0.006226067,4.11,0.03
200-p-30-d-1,Dolomite,Synthetic,4,0.365,0.00244576,4.43,0.04
IODP-d-2,Dolomite,Natural,3,0.617,0.004570216,11.4,0.92
Barb1pt10-1,Dolomite,Natural,4,0.628,0.00494408,10.88,0.38
MIZd-1,Dolomite,Natural,3,0.496,0.008403269,8.39,0.52
235-O-12-1,Dolomite,Synthetic,5,0.332,0.016103742,3.84,0.03
O-H-2-1,Dolomite,Synthetic,4,0.358,0.014154948,4.11,0.03
4-50C-NoSalt,Mix,Synthetic,2,0.553,0.01919,9.48,0.03
NA2-25C-Salt,Mix,Synthetic,3,0.619,0.009788413,11.05,0.04
2-25C-NoSalt,Calcite,Synthetic,3,0.619,0.010627701,11.05,0.04
NA5-50C-Salt,Vaterite,Synthetic,2,0.539,0.00335,9.48,0.03
6-70C-NoSalt,Mix,Synthetic,2,0.514,0.031425,8.4,0.02
9-90C-NoSalt,Calcite,Synthetic,3,0.475,0.014556925,7.46,0.02
NA9-90C-Salt,Vaterite,Synthetic,4,0.471,0.019988364,7.46,0.02
NA7-70C-Salt,Vaterite,Synthetic,3,0.516,0.00419549,8.4,0.02
8-80C-NoSalt,Calcite,Synthetic,6,0.488,0.013140357,7.93,0.02
NA8-80C-Salt,Mix,Synthetic,3,0.49,0.017119632,7.93,0.02
1-23C-NoSalt,Calcite,Synthetic,3,0.62,0.003126544,11.21,0.04
NA1-23C-Salt,Vaterite,Synthetic,3,0.618,0.002943405,11.21,0.04
7-70C-NoSalt,Calcite,Synthetic,3,0.51,0.006957176,8.4,0.02
R125C,Calcite,Synthetic,4,0.631,0.012835659,11.1,0.15
R380C,Calcite,Synthetic,5,0.506,0.011446658,7.93,0.09
R250C,Calcite,Synthetic,5,0.556,0.012138647,9.46,0.12
R6150C,Calcite,Synthetic,5,0.403,0.008353668,5.53,0.05
R8200C,Calcite,Synthetic,5,0.375,0.007140138,4.43,0.04
R4100C,Calcite,Synthetic,5,0.484,0.007342733,7.11,0.08
5-50C-NoSalt,Calcite,Synthetic,2,0.549,0.01299,9.48,0.03
NA6-50C-Salt,Vaterite,Synthetic,2,0.545,0.012765,9.48,0.03
R5125C,Calcite,Synthetic,5,0.432,0.014372145,6.25,0.06
10-90C-NoSalt,Aragonite,Synthetic,2,0.452,0.0256,7.46,0.02
R10250C,Calcite,Synthetic,3,0.337,0.022017346,3.63,0.03
3-37C-NoSalt,Calcite,Synthetic,1,0.546,,10.23,0.03
Na4-37C-Salt,Vaterite,Synthetic,1,0.546,,10.23,0.03
R9225C,Calcite,Synthetic,5,0.346,0.010880296,4,0.03
R7175C,Calcite,Synthetic,5,0.39,0.009120618,4.93,0.04
Mg-1,Magnesite,Synthetic,2,0.488,0.003515,7.93,0
DPT12-10-salt,Magnesite,Natural,2,0.602,0.00616,12.19,0.01
DTP10-12-crust,Magnesite,Natural,2,0.676,0.004865,12.19,0.01
209,Magnesite,Synthetic,2,0.55,0.008565,8.9,0.01
Mg-3,Magnesite,Synthetic,3,0.489,0.001491692,7.93,0
140516_2_UWcp14_50C_1,Calcite,Synthetic,6,0.573,0.014087208,9.64,0.02
140522_2_UWcp14_80C_1,Calcite,Synthetic,6,0.493,0.005000454,8.06,0.02
140522_3_UWcp14_21C_1,Calcite,Synthetic,6,0.622,0.008318052,11.33,0.02
140527_4_UWcp14_50C_2,Calcite,Synthetic,4,0.552,0.011392796,9.4,0.02
140603_8_UWcp14_50C_CA_3,Unknown,Synthetic,3,0.544,0.021750188,9.12,0.04
140606_1_UWcp14_70C_CA_1,Aragonite,Synthetic,6,0.516,0.012066459,8.2,0.05
140625_1_UWcp14_24C_CA_1,Calcite,Synthetic,3,0.61,0.008316284,11.17,0.06
140721_7_UWcp14_80C_2,Calcite,Synthetic,3,0.495,0.011289145,8.02,0.06
140723_7_UWcp14_40C_1,Calcite,Synthetic,3,0.558,0.011955013,9.88,0.09
140725_1_UWcp14_70C_2,Aragonite,Synthetic,3,0.541,0.011519549,8.35,0.02
140727_1_UWcp14_50C_3,Calcite,Synthetic,3,0.574,0.017914454,9.52,0.01
140802_1_UWcp14_70C_4,Calcite,Synthetic,4,0.515,0.006363307,8.3,0.02
140802_3_UWcp14_20C_4,Unknown,Synthetic,4,0.625,0.019781963,11.25,0.03
140804_3_UWcp14_20C_9,Calcite,Synthetic,7,0.616,0.008494792,11.25,0.03
140804_5_UWcp14_20C_CA_5,Unknown,Synthetic,2,0.639,0.00131,11.25,0.03
140805_12_UWcp14_70C_CA_5,Calcite,Synthetic,3,0.501,0.007680044,8.39,0.05
140805_14_UWcp14_50C_5,Calcite,Synthetic,6,0.556,0.004789659,9.58,0.05
140806_12_UWcp14_50C_4,Unknown,Synthetic,3,0.574,0.014860714,9.64,0.08
140807_11_UWcp14_20C_10,Calcite,Synthetic,3,0.614,0.004206607,11.17,0.03
140813_1_UWcp14_60C_1,Aragonite,Synthetic,3,0.519,0.015210714,8.85,0.05
140813_6_UWcp14_20C_CA_11,Calcite,Synthetic,3,0.641,0.009186002,11.25,0.03
140814_1_UWcp14_60C_2,Calcite,Synthetic,3,0.548,0.01476483,8.59,0.12
140814_4_UWcp14_35C_1,Unknown,Synthetic,3,0.608,0.006535402,10.4,0.05
140820_1_UWcp14_70C_CA_4,Calcite,Synthetic,5,0.503,0.006941029,8.35,0.05
140820_5_UWcp14_50C_7,Calcite,Synthetic,3,0.548,0.006484968,9.23,0.11
140820_9_UWcp14_50C_8,Unknown,Synthetic,3,0.564,0.014549048,9.7,0.02
141013_2_UWcp14_80C_3,Aragonite,Synthetic,3,0.479,0.014688309,7.93,0.03
141014_2_UWcp14_70C_DS2,Aragonite,Synthetic,8,0.511,0.012184081,8.3,0.02
141014_3_UWcp14_80C_DS,Aragonite,Synthetic,3,0.475,0.018459957,7.67,0
141117_3_50C_CA_10,Calcite,Synthetic,3,0.55,0.013202865,9.46,0.04
141121_6_UWcp14_50C_CA_9,Calcite,Synthetic,3,0.558,0.006580578,9.52,0.03
141121_8_UWcp14_50C_DS2,Calcite,Synthetic,3,0.543,0.010916833,9.4,0.02
141209_5_UWcp14_4C_2,Calcite,Synthetic,6,0.68,0.022624647,12.65,0
141209_8_UWcp14_8C_2,Calcite,Synthetic,3,0.676,0.020714175,12.39,0.01
141210_3_UWcp14_20C_DS,Calcite,Synthetic,3,0.639,0.009281987,11.03,0.05
141210_5_UWcp14_50C_DS,Calcite,Synthetic,3,0.544,0.005189545,9.17,0.02
141212_5_UWcp14_8C_3,Calcite,Synthetic,3,0.665,0.014052232,12.39,0.01
141218_4_UWcp14_4C_1,Calcite,Synthetic,5,0.689,0.015158664,12.65,0
141218_6_UWcp14_3C_2,Unknown,Synthetic,2,0.683,0.005775,12.39,0.15
150122_2_4C_4,Calcite,Synthetic,3,0.653,0.009966584,12.65,0
150122_5_20C_CA_13,Calcite,Synthetic,5,0.629,0.005448188,11.17,0.08
150122_7_4C_3,Calcite,Synthetic,3,0.665,0.002018657,12.65,0
150205_8_8C_CA_4,Calcite,Synthetic,2,0.658,0.006245,12.39,0.01
150212_6_8C_1,Calcite,Synthetic,3,0.68,0.007297194,12.39,0.01
150212_7_20C_G_14,Calcite,Synthetic,2,0.622,0.005655,11.4,0.04
150309_2_4C_5,Calcite,Synthetic,3,0.669,0.016700164,12.65,0
150309_7_8C_CA_5,Calcite,Synthetic,3,0.675,0.008562969,12.04,0.01
150410_3_20C_Z_15,Calcite,Synthetic,4,0.661,0.006720452,11.48,0.12
150410_6_20C_CA_16,Calcite,Synthetic,4,0.667,0.009160033,11.25,0.03
150422_7_4C_6,Calcite,Synthetic,2,0.695,0.00432,12.65,0
150601_4_20C_Z_2,Calcite,Synthetic,3,0.641,0.014658197,11.33,0.01
150601_8_8C_6,Calcite,Synthetic,2,0.687,0.001725,12.39,0.01
150618_4_50C_Z_1,Aragonite,Synthetic,2,0.554,0.01445,9.46,0.05
150618_6_30C_Z_1,Aragonite,Synthetic,2,0.568,0.015925,10.33,0.03
150618_7_4C_Z_3,Calcite,Synthetic,3,0.681,0.009982253,12.83,0.03
150715_11_50C_Z_2,Aragonite,Synthetic,2,0.56,0.01394,9.46,0.06
C20,Calcite,Synthetic,3,0.643,0.006239955,12.74,0.05
C26,Calcite,Synthetic,4,0.657,0.001715277,12.74,0.05
C18,Calcite,Synthetic,4,0.639,0.018908307,12.74,0.05
C27,Calcite,Synthetic,6,0.655,0.008287305,12.74,0.05
C50,Calcite,Synthetic,5,0.664,0.009552769,12.74,0.05
C48,Calcite,Synthetic,4,0.649,0.003173206,12.74,0.05
C19,Calcite,Synthetic,4,0.631,0.002331705,12.74,0.05
C30,Calcite,Synthetic,5,0.604,0.024246874,11.1,0.04
C22,Calcite,Synthetic,2,0.691,0.004325,12.74,0.05
C54,Calcite,Synthetic,3,0.585,0.014479234,11.1,0.04
C57,Calcite,Synthetic,2,0.573,0.00468,11.1,0.04
C58,Calcite,Synthetic,3,0.613,0.007763501,11.1,0.04
C29,Calcite,Synthetic,3,0.585,0.006299869,11.1,0.04
C32,Calcite,Synthetic,2,0.608,0.00746,11.1,0.04
C6,Calcite,Synthetic,2,0.55,0.04732,10.07,0.03
C34,Calcite,Synthetic,3,0.578,0.006191368,11.1,0.04
C7,Calcite,Synthetic,2,0.608,0.057065,10.07,0.03
C15,Calcite,Synthetic,2,0.533,0.03027,10.07,0.03
C24,Calcite,Synthetic,2,0.664,0.00067,12.74,0.05
C45,Calcite,Synthetic,2,0.559,0.060515,10.07,0.03
C44,Calcite,Synthetic,1,0.606,,10.07,0.03
C12,Calcite,Synthetic,3,0.544,0.013911569,10.07,0.03
C9,Calcite,Synthetic,1,0.538,,10.07,0.03
SID3,Siderite,Synthetic,4,0.571,0.015238045,10.13,0.07
SID4,Siderite,Synthetic,5,0.547,0.016725146,9.4,0.06
SID5,Siderite,Synthetic,3,0.618,0.012756786,11.4,0.08
NE-CC-1-650-RDX003,Calcite,Synthetic,3,0.238,0.000493975,1.17,0.01
