Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError
IPGP_100-A3,Dolomite,Synthetic,9,0.427,0.018364001,102.3,2
IPGP_250-A5,Dolomite,Synthetic,9,0.275,0.022883102,252.1,2
IPGP_350-A9,Dolomite,Synthetic,10,0.232,0.022837507,351.4,2
IPGP_80-1,Dolomite,Synthetic,10,0.495,0.015634719,80.2,1
ETH-1-1100-SAM,Calcite,Synthetic,10,0.178,0.0260725,25,2
ETH-2-1100-SAM,Aragonite,Synthetic,10,0.192,0.025103951,80,2
HT_25C,Calcite,Synthetic,9,0.61,0.015364426,36.1,0.1
HT_80C,Calcite,Synthetic,9,0.487,0.017195577,54.9,0.1
AQUA_BORRA,Calcite,Natural,11,0.577,0.014481208,33.8,0.1
BUK_4,Calcite,Natural,9,0.541,0.016314832,11,0.1
CANARIAN,Calcite,Natural,8,0.584,0.017011277,75,0.1
CANNATOPPA,Calcite,Natural,8,0.628,0.01640452,12.5,0.1
IGAL,Calcite,Natural,10,0.475,0.015960478,60.4,0.1
LAPIGNA,Calcite,Natural,9,0.621,0.01522774,12,0.1
NG_2,Calcite,Natural,9,0.505,0.016886341,5,0.1
P5_SUMMER,Calcite,Natural,9,0.633,0.01508271,20.7,0.1
P5_WINTER,Calcite,Natural,10,0.635,0.013804028,11,0.1
SARTEANO,Calcite,Natural,9,0.594,0.015569979,95,0.1
SZAL,Calcite,Natural,9,0.654,0.014838581,2.5,1
TURA,Calcite,Natural,9,0.409,0.018763748,2.5,1
LF2012-9_7-A,Calcite,Natural,4,0.663,0.022106284,0.5,1
LF2012-D1-A,Calcite,Natural,4,0.658,0.022190115,0.5,1
LJ2010-12A-Z1A,Calcite,Natural,13,0.668,0.01223522,0.5,1
LJ2010-12A-Z2A,Calcite,Natural,6,0.673,0.018284527,4,1
LJ2010-5B-A,Calcite,Natural,11,0.676,0.013378867,23,0.33
LV26NOV10-2A,Calcite,Natural,6,0.652,0.018576653,23,0.34
UWCP14_20C_9,Calcite,Synthetic,8,0.604,0.016727263,22,0.22
UWCP14_20C_CA_11,Calcite,Synthetic,10,0.615,0.014026688,6,0.05
UWCP14_21C_1,Calcite,Synthetic,8,0.611,0.016631168,6,0.05
UWCP14_4C_3,Calcite,Synthetic,8,0.65,0.016124515,51,0.36
UWCP14_4C_4,Calcite,Synthetic,9,0.658,0.01479341,54,1.98
UWCP14_50C_2,Calcite,Synthetic,9,0.534,0.016421417,50,0.74
UWCP14_50C_7,Calcite,Synthetic,9,0.518,0.0166731,66,2.31
UWCP14_50C_CA_11,Calcite,Synthetic,9,0.527,0.016530117,72,0.43
UWCP14_60C_2,Calcite,Synthetic,9,0.491,0.017125391,71,1
UWCP14_70C_4,Calcite,Synthetic,8,0.49,0.018571429,78,1.28
UWCP14_70C_CA_4,Calcite,Synthetic,9,0.493,0.017090619,9,0.12
UWCP14_80C_2,Calcite,Synthetic,9,0.483,0.017266634,9,0.15
UWCP14_8C_2,Calcite,Synthetic,9,0.633,0.01508271,9,0.12
UWCP14_8C_6,Calcite,Synthetic,9,0.648,0.01490712,1100,10
UWCP14_8C_CA_4,Calcite,Synthetic,8,0.648,0.01614938,1100,10
