Sample.Name,Mineralogy,Material,N,D47,D47error,Temperature,TempError
IPGP_100-A3,Dolomite,2,9,0.4272,0.0149,7.094075115,0.074979789
IPGP_250-A5,Dolomite,2,9,0.2747,0.025,3.62466503,0.027446489
IPGP_350-A9,Dolomite,2,10,0.2319,0.0178,2.563690385,0.016340906
IPGP_80-1,Dolomite,2,10,0.495,0.0121,8.009212356,0.045141307
ETH-1-1100-SAM,Calcite,2,10,0.1778,0.0182,0.530351788,0.007641031
ETH-2-1100-SAM,Calcite,2,10,0.1915,0.017,0.530351788,0.007641031
HT_25C,Calcite,2,9,0.6097,0.0131,11.24942624,0.149417916
HT_80C,Calcite,2,9,0.4872,0.0127,8.018286665,0.09005445
AQUA_BORRA,Calcite,1,11,0.5766,0.0119,10.45636136,0.006759122
BUK_4,Calcite,1,9,0.5405,0.0128,9.29222925,0.005662541
CANARIAN,Calcite,1,8,0.5835,0.0135,10.61364908,0.006912178
CANNATOPPA,Calcite,1,8,0.6278,0.0139,12.3852472,0.008712801
IGAL,Calcite,1,10,0.4746,0.0121,8.250251751,0.00473744
LAPIGNA,Calcite,1,9,0.6212,0.013,12.25551436,0.008576287
NG_2,Calcite,1,9,0.505,0.0129,8.988311398,0.005387061
P5_SUMMER,Calcite,1,9,0.6327,0.0131,12.29853123,0.008621473
P5_WINTER,Calcite,1,10,0.6354,0.0131,12.92533689,0.009288779
SARTEANO,Calcite,1,9,0.5935,0.0129,11.58106795,0.007878277
SZAL,Calcite,1,9,0.6541,0.0134,12.3852472,0.008712801
TURA,Calcite,1,9,0.4089,0.0128,7.378199439,0.004006625
LF2012-9_7-A,Calcite,1,4,0.6633,0.0228,13.16085203,0.094972463
LF2012-D1-A,Calcite,1,4,0.6575,0.0226,13.16085203,0.094972463
LJ2010-12A-Z1A,Calcite,1,13,0.6683,0.0143,13.35392999,0.097066224
LJ2010-12A-Z2A,Calcite,1,6,0.6726,0.0197,13.35392999,0.097066224
LJ2010-5B-A,Calcite,1,11,0.6756,0.0136,13.35392999,0.097066224
LV26NOV10-2A,Calcite,1,6,0.6516,0.0179,13.01877838,0.093441495
UWCP14_20C_9,Calcite,2,8,0.6041,0.0141,11.40188158,0.025367829
UWCP14_20C_CA_11,Calcite,2,10,0.615,0.0128,11.40188158,0.026135229
UWCP14_21C_1,Calcite,2,8,0.6107,0.014,11.47927407,0.017093813
UWCP14_4C_3,Calcite,2,8,0.6497,0.0143,12.8328978,0.004595899
UWCP14_4C_4,Calcite,2,9,0.6582,0.0133,12.8328978,0.004595899
UWCP14_50C_2,Calcite,2,9,0.5344,0.0132,9.517172655,0.021104322
UWCP14_50C_7,Calcite,2,9,0.5177,0.0127,9.343426009,0.112079342
UWCP14_50C_CA_11,Calcite,2,9,0.5273,0.0135,9.576166301,0.043707851
UWCP14_60C_2,Calcite,2,9,0.4909,0.0133,8.693934366,0.11723222
UWCP14_70C_4,Calcite,2,8,0.4901,0.0143,8.394295329,0.020876795
UWCP14_70C_CA_4,Calcite,2,9,0.4927,0.0127,8.443148975,0.048853645
UWCP14_80C_2,Calcite,2,9,0.4829,0.0129,8.109884228,0.058802037
UWCP14_8C_2,Calcite,2,9,0.6331,0.0132,12.56145338,0.010678102
UWCP14_8C_6,Calcite,2,9,0.6475,0.0132,12.56145338,0.013345501
UWCP14_8C_CA_4,Calcite,2,8,0.6477,0.0141,12.56145338,0.010678102
